imunes;pseudo_imunes;infectantes_gerados;doentes;acidentados;sadios;nacimentos
201849;227079;1;1;0;571071;0
221694;244369;4;3;99912;514126;80102
246591;267390;4;6;98149;462600;94544
270140;289535;7;11;97975;416183;97254
291985;309127;5;12;97330;374739;97324
375513;231245;8;15;79711;337172;225884
410180;249692;4;12;90485;303873;144962
434822;259054;6;12;93024;273413;132304
455750;265626;7;12;93519;246085;129281
491922;246130;4;12;88406;221495;163018
516510;247405;5;13;90480;199437;147256
560992;352306;3;9;63240;14;346900
583004;369516;8;14;85110;14;189296
593614;364030;7;16;88081;14;171153
598745;360670;8;19;88854;14;162773
615044;327057;5;17;79186;14;231433
624319;327813;5;13;84586;14;191496
627827;327858;6;13;86334;14;177389
629262;327687;6;15;87036;14;172879
634799;316730;5;14;84180;14;194769
638354;315155;2;11;85219;14;185617
618414;329921;3;8;81760;14;207969
618420;334377;4;8;84565;14;188533
621332;331272;2;8;84746;14;189447
623508;330321;5;9;85337;14;185841
620927;328742;7;13;83301;14;199633
622098;330027;6;16;84234;14;192496
623208;329510;6;17;84693;14;189135
623981;328871;7;13;84987;14;186627
624411;327332;4;14;84517;14;193600
624895;327055;5;11;84740;14;190992
622610;328737;7;12;84818;14;193826
622520;329935;7;16;84554;14;189746
623441;328977;7;17;84070;14;191124
623305;329059;3;13;85241;14;190680
622454;329299;7;14;84422;14;193236
622247;330223;8;16;84296;14;191929
622613;329631;9;20;85006;14;190734
623368;328719;7;20;84558;14;189988
623630;328482;7;18;84738;14;192582
623801;328097;8;20;84752;14;191694
624130;328256;10;23;84166;14;191712
623756;328584;8;21;84317;14;190265
623838;328380;11;25;84240;14;191134
623928;328228;9;24;85076;14;191670
623422;328820;5;19;84528;14;191323
623369;328601;7;17;84611;14;190449
623388;328328;7;14;84662;14;191764
623349;328814;4;12;84698;14;191895
623400;328685;3;9;84540;14;191132
622753;329474;2;7;84782;14;191096
622742;329041;3;7;84589;14;191155
622801;329066;4;8;84630;14;191891
622692;329351;3;7;84442;14;191425
622927;329287;3;7;84618;14;191678
622485;329686;4;10;84595;14;191290
622375;329557;8;15;84682;14;191724
622580;329953;3;14;84450;14;191782
622591;329866;8;17;84556;14;191018
623207;329101;7;16;84603;14;191156
623359;328587;6;17;84198;14;190791
623126;328834;5;15;84311;14;191797
623057;329036;8;14;84711;14;191535
622511;329838;5;15;84588;14;191350
622664;329516;5;17;84735;14;191409
622532;329218;8;17;84737;14;191535
621998;329903;8;16;84959;14;191720
622288;330334;5;16;84864;14;192329
622424;329882;8;18;84361;14;190936
622674;329363;4;16;84382;14;191214
623244;329037;8;16;84338;14;191522
623521;329032;9;17;84292;14;191429
623170;329182;10;21;84359;14;191031
623449;329271;8;22;84470;14;191312
623713;328792;10;24;84526;14;191132
623176;328854;2;17;84567;14;191074
623556;328842;4;13;84530;14;191935
623594;328864;4;8;84464;14;191530
623442;328759;3;9;84278;14;190746
622885;329385;2;8;84631;14;191834
622924;329389;4;7;84415;14;191377
622604;329581;2;5;84724;14;191235
622598;329486;2;4;84743;14;190952
623084;329077;3;5;84529;14;192080
622801;329503;1;3;84782;14;191907
623190;328915;4;7;84307;14;190973
622855;329282;2;7;84458;14;191354
622384;329680;4;9;84703;14;191308
622971;329273;3;6;84422;14;191424
623431;328901;5;10;84677;14;191724
623435;328800;5;12;84443;14;191053
623160;328799;4;13;84436;14;190848
623318;329025;7;14;84784;14;191600
623212;328502;4;12;84872;14;191341
622991;328789;5;14;84675;14;191799
622890;329228;4;11;84292;14;191184
623237;329052;3;12;84513;14;191154
623167;328921;4;11;84611;14;190969
623716;328411;6;13;84028;14;190761
623198;328827;5;13;84394;14;191536
623081;328968;12;17;84783;14;191554
