imunes;pseudo_imunes;infectantes_gerados;doentes;acidentados;sadios;nacimentos
314;3826;1;1;0;5859;0
693;3841;5;4;999;5268;801
1077;3940;7;11;974;4755;944
1485;4010;10;18;1014;4275;1009
1812;4134;12;25;987;3824;990
3153;2683;14;30;682;3449;3001
3661;2871;10;26;872;3120;1588
3902;2950;14;34;939;2829;1319
4187;2971;14;34;887;2565;1291
4659;2588;14;38;849;2331;1826
4972;2588;21;43;889;2095;1527
5775;3398;16;42;673;80;3064
6001;3500;11;35;840;80;1782
6087;3413;12;31;835;80;1713
6119;3458;10;28;852;80;1662
6140;3202;7;26;761;80;2243
6243;3248;13;23;860;80;1935
6290;3260;6;17;821;80;1766
6286;3265;13;27;831;80;1697
6329;3158;10;25;859;80;1976
6367;3151;9;28;884;80;1907
6207;3220;17;28;801;80;1976
6189;3293;9;28;830;80;1937
6207;3309;12;29;836;80;1920
6195;3291;7;21;827;80;1789
6150;3317;13;25;861;80;1981
6162;3326;8;22;839;80;1974
6212;3264;11;25;791;80;1829
6183;3287;17;32;872;80;1829
6238;3222;15;35;859;80;1971
6226;3250;13;37;871;80;1992
6198;3299;11;29;832;80;1922
6149;3348;10;24;836;80;1871
6147;3332;8;20;867;80;1906
6239;3286;7;18;869;80;2007
6247;3267;7;15;812;80;1872
6219;3291;7;18;840;80;1889
6240;3297;4;16;820;80;1898
6239;3278;11;19;848;80;1938
6190;3315;11;22;898;80;1972
6164;3340;7;24;883;80;1912
6155;3311;13;28;840;80;1874
6198;3289;11;24;852;80;1962
6211;3298;6;22;841;80;1922
6256;3264;7;18;791;80;1898
6296;3243;9;19;865;80;1910
6301;3186;9;20;854;80;1885
6283;3186;10;23;860;80;1900
6276;3247;12;27;847;80;1918
6248;3247;10;28;851;80;1913
6234;3253;12;26;791;80;1844
6261;3251;8;24;803;80;1888
6265;3223;8;23;810;80;1867
6270;3250;13;27;834;80;1983
6281;3190;10;29;849;80;1887
6276;3209;9;27;848;80;1901
6215;3252;16;29;878;80;1897
6236;3230;17;34;813;80;1922
6173;3321;8;32;839;80;1903
6202;3277;12;27;837;80;1874
6200;3313;8;23;839;80;1926
6201;3275;10;25;845;80;1870
6147;3304;11;24;890;80;1991
6189;3318;12;27;859;80;1937
6203;3299;11;27;856;80;1952
6221;3287;10;27;875;80;1896
6259;3234;8;24;823;80;1947
6218;3255;13;24;891;80;1933
6208;3275;8;21;850;80;1879
6173;3287;6;21;858;80;1865
